Model,Accuracy,Sensitivity (Recall),Specificity,Precision (PPV),NPV,F1-Score
LightGBM,0.9333333333333333,0.9090909090909091,0.9629629629629629,0.967741935483871,0.896551724137931,0.9374999999999999
GradientBoosting,0.9166666666666666,0.9090909090909091,0.9259259259259259,0.9375,0.8928571428571429,0.923076923076923
HistGradientBoosting,0.9166666666666666,0.8787878787878788,0.9629629629629629,0.9666666666666667,0.8666666666666667,0.9206349206349207
CatBoost,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.8888888888888888,0.9090909090909091
XGBoost,0.9,0.8484848484848485,0.9629629629629629,0.9655172413793104,0.8387096774193549,0.9032258064516129
Stacking,0.9,0.8484848484848485,0.9629629629629629,0.9655172413793104,0.8387096774193549,0.9032258064516129
RandomForest,0.85,0.8181818181818182,0.8888888888888888,0.9,0.8,0.8571428571428572
AdaBoost,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.7777777777777778,0.8181818181818182
DecisionTree,0.7333333333333333,0.696969696969697,0.7777777777777778,0.7931034482758621,0.6774193548387096,0.7419354838709677
KNN,0.7166666666666667,0.7878787878787878,0.6296296296296297,0.7222222222222222,0.7083333333333334,0.7536231884057971
LogisticRegression,0.6833333333333333,0.6363636363636364,0.7407407407407407,0.75,0.625,0.6885245901639345
SVM,0.5666666666666667,0.9090909090909091,0.14814814814814814,0.5660377358490566,0.5714285714285714,0.6976744186046512
NaiveBayes,0.5666666666666667,0.48484848484848486,0.6666666666666666,0.64,0.5142857142857142,0.5517241379310344
